train_dataset,test_dataset,model,weighted_f1,macro_f1,micro_f1,eval_time,PER_f1,PER_precision,PER_recall,LOC_f1,LOC_precision,LOC_recall,ORG_f1,ORG_precision,ORG_recall
idner2k,nerui,indobert_bilstm,0.6443902146828838,0.6374332254881772,0.6528497409326425,1.187237024307251,0.7727930535455861,0.7694524495677233,0.7761627906976745,0.5497630331753555,0.6987951807228916,0.453125,0.5897435897435898,0.7104247104247104,0.5041095890410959
idner2k,nerui,mbert_bilstm,0.7255460515978899,0.7196376673017011,0.7267729521715228,1.161440372467041,0.8276923076923076,0.8790849673202614,0.7819767441860465,0.6465116279069768,0.7988505747126436,0.54296875,0.6847090663058187,0.6764705882352942,0.6931506849315069
idner2k,nerui,xlm_roberta_bilstm,0.7675860456549068,0.7593052960107362,0.7708442579968539,1.1267855167388916,0.8596237337192475,0.8559077809798271,0.8633720930232558,0.6666666666666667,0.7801047120418848,0.58203125,0.7516254876462939,0.7153465346534653,0.7917808219178082
idner2k,nerui,attention_fusion,0.7457322379251264,0.7414150926002522,0.7490596453519613,2.1884891986846924,0.8943560057887121,0.8904899135446686,0.8982558139534884,0.673728813559322,0.7361111111111112,0.62109375,0.656160458452722,0.6876876876876877,0.6273972602739726
nerugm,idner2k,bilstm,0.6787692247159305,0.7042892695066608,0.6909722222222223,0.8431077003479004,0.5626598465473146,0.8239700374531835,0.42718446601941745,0.7373737373737375,0.7684210526315789,0.7087378640776699,0.8128342245989304,0.8760806916426513,0.7581047381546134
nerugm,idner2k,bilstm_w2v,0.7191955698526318,0.7357414989010737,0.7249329758713138,1.5192854404449463,0.6527293844367014,0.8121387283236994,0.545631067961165,0.76056338028169,0.7363636363636363,0.7864077669902912,0.7939317319848292,0.8051282051282052,0.7830423940149626
nerugm,idner2k,bilstm_w2v_cnn,0.7391314556188887,0.7647592024713804,0.7475622968580716,0.8356547355651855,0.6469893742621015,0.8253012048192772,0.5320388349514563,0.8073394495412843,0.7652173913043478,0.8543689320388349,0.8399487836107554,0.8631578947368421,0.8179551122194514
nerugm,idner2k,indobert,0.8933125596494287,0.855881516780296,0.8909355307804169,1.2896490097045898,0.9436619718309858,0.9791231732776617,0.9106796116504854,0.761467889908257,0.7217391304347827,0.8058252427184466,0.862514688601645,0.8155555555555556,0.9152119700748129
nerugm,idner2k,indobert_bilstm,0.8909707636539621,0.8650287103023421,0.8899900891972249,1.2928614616394043,0.926926926926927,0.9566115702479339,0.8990291262135922,0.8,0.7678571428571429,0.8349514563106796,0.8681592039800994,0.8660049627791563,0.8703241895261845
nerugm,idner2k,mbert_bilstm,0.8751830896766453,0.8777734042628755,0.8738916256157635,1.295936107635498,0.9053916581892167,0.9508547008547008,0.8640776699029126,0.8971962616822431,0.8648648648648649,0.9320388349514563,0.8307322929171669,0.8009259259259259,0.8628428927680798
nerugm,idner2k,xlm_roberta_bilstm,0.8957888588470712,0.8886794130820052,0.8949682462139716,1.3561527729034424,0.9285714285714286,0.949290060851927,0.9087378640776699,0.8796296296296297,0.8407079646017699,0.9223300970873787,0.8578371810449574,0.8364928909952607,0.8802992518703242
nerugm,idner2k,attention_fusion,0.9244518921331132,0.8989113702377928,0.9230019493177388,1.3398606777191162,0.9653808110781406,0.9838709677419355,0.9475728155339805,0.8370044052863437,0.7661290322580645,0.9223300970873787,0.8943488943488943,0.8813559322033898,0.9077306733167082
nerugm,nerugm,bilstm,0.6814931179950138,0.6683558868372241,0.6770140428677015,0.8041934967041016,0.7450980392156863,0.7977099236641222,0.6989966555183946,0.6424581005586592,0.7371794871794872,0.5693069306930693,0.6175115207373272,0.5153846153846153,0.7701149425287356
nerugm,nerugm,bilstm_w2v,0.702738698163402,0.6816583303892948,0.6964539007092199,1.4509644508361816,0.805414551607445,0.815068493150685,0.7959866220735786,0.6373626373626373,0.7160493827160493,0.5742574257425742,0.6021978021978022,0.4875444839857651,0.7873563218390804
nerugm,nerugm,bilstm_w2v_cnn,0.7059892084965087,0.687682119085237,0.7010014306151645,0.8313910961151123,0.7965811965811965,0.8146853146853147,0.7792642140468228,0.6428571428571429,0.7222222222222222,0.5792079207920792,0.623608017817372,0.509090909090909,0.8045977011494253
nerugm,nerugm,indobert,0.7302480225546222,0.7019501742163813,0.7246575342465753,1.2397480010986328,0.8723747980613894,0.84375,0.903010033444816,0.6233062330623307,0.688622754491018,0.5693069306930693,0.6101694915254238,0.48322147651006714,0.8275862068965517
nerugm,nerugm,indobert_bilstm,0.7270592192230466,0.6973233564389781,0.7204374572795625,1.2543540000915527,0.8731942215088282,0.8395061728395061,0.9096989966555183,0.6290322580645161,0.6882352941176471,0.5792079207920792,0.5897435897435898,0.46938775510204084,0.7931034482758621
nerugm,nerugm,mbert_bilstm,0.7476342024287229,0.7208014588151573,0.7418685121107267,1.2570445537567139,0.8798701298701298,0.8548895899053628,0.9063545150501672,0.6575342465753425,0.7361963190184049,0.594059405940594,0.625,0.5,0.8333333333333334
nerugm,nerugm,xlm_roberta_bilstm,0.735535908876268,0.7080619125490942,0.731404958677686,1.3025925159454346,0.8722044728434504,0.8348623853211009,0.9130434782608695,0.6376021798365122,0.7090909090909091,0.5792079207920792,0.6143790849673203,0.49473684210526314,0.8103448275862069
nerugm,nerugm,attention_fusion,0.7368384306910556,0.7066468583071998,0.7313738892686261,1.2801640033721924,0.8878205128205129,0.8523076923076923,0.9264214046822743,0.6256684491978609,0.6802325581395349,0.5792079207920792,0.6064516129032258,0.4845360824742268,0.8103448275862069
nerugm,nerui,bilstm,0.33418160142409514,0.33832563187688075,0.33596214511041006,0.7504067420959473,0.2784222737819026,0.6896551724137931,0.1744186046511628,0.3865546218487395,0.6831683168316832,0.26953125,0.35000000000000003,0.7304347826086957,0.23013698630136986
nerugm,nerui,bilstm_w2v,0.414776653340926,0.4242106440149585,0.4188626907073509,1.2950544357299805,0.3727454909819639,0.6,0.2703488372093023,0.5176470588235293,0.650887573964497,0.4296875,0.38223938223938225,0.6470588235294118,0.27123287671232876
nerugm,nerui,bilstm_w2v_cnn,0.4386028814555513,0.4502197045974334,0.44755244755244755,0.7500178813934326,0.3811563169164882,0.7235772357723578,0.25872093023255816,0.5663716814159292,0.6530612244897959,0.5,0.4031311154598826,0.7054794520547946,0.2821917808219178
nerugm,nerui,indobert,0.682082289287845,0.6783356528978439,0.6833428084138715,1.150156021118164,0.8218750000000001,0.8885135135135135,0.7645348837209303,0.6175115207373272,0.7528089887640449,0.5234375,0.5956204379562043,0.6375,0.5589041095890411
nerugm,nerui,indobert_bilstm,0.6443902146828838,0.6374332254881772,0.6528497409326425,1.1298022270202637,0.7727930535455861,0.7694524495677233,0.7761627906976745,0.5497630331753555,0.6987951807228916,0.453125,0.5897435897435898,0.7104247104247104,0.5041095890410959
nerugm,nerui,mbert_bilstm,0.7255460515978899,0.7196376673017011,0.7267729521715228,1.116417407989502,0.8276923076923076,0.8790849673202614,0.7819767441860465,0.6465116279069768,0.7988505747126436,0.54296875,0.6847090663058187,0.6764705882352942,0.6931506849315069
nerugm,nerui,xlm_roberta_bilstm,0.7675860456549068,0.7593052960107362,0.7708442579968539,1.1338505744934082,0.8596237337192475,0.8559077809798271,0.8633720930232558,0.6666666666666667,0.7801047120418848,0.58203125,0.7516254876462939,0.7153465346534653,0.7917808219178082
nerugm,nerui,attention_fusion,0.7457322379251264,0.7414150926002522,0.7490596453519613,1.1689965724945068,0.8943560057887121,0.8904899135446686,0.8982558139534884,0.673728813559322,0.7361111111111112,0.62109375,0.656160458452722,0.6876876876876877,0.6273972602739726
nerui,idner2k,bilstm,0.6787692247159305,0.7042892695066608,0.6909722222222223,0.8388676643371582,0.5626598465473146,0.8239700374531835,0.42718446601941745,0.7373737373737375,0.7684210526315789,0.7087378640776699,0.8128342245989304,0.8760806916426513,0.7581047381546134
nerui,idner2k,bilstm_w2v,0.7191955698526318,0.7357414989010737,0.7249329758713138,1.704432487487793,0.6527293844367014,0.8121387283236994,0.545631067961165,0.76056338028169,0.7363636363636363,0.7864077669902912,0.7939317319848292,0.8051282051282052,0.7830423940149626
nerui,idner2k,bilstm_w2v_cnn,0.7391314556188887,0.7647592024713804,0.7475622968580716,0.8245105743408203,0.6469893742621015,0.8253012048192772,0.5320388349514563,0.8073394495412843,0.7652173913043478,0.8543689320388349,0.8399487836107554,0.8631578947368421,0.8179551122194514
nerui,idner2k,indobert,0.8933125596494287,0.855881516780296,0.8909355307804169,1.2680449485778809,0.9436619718309858,0.9791231732776617,0.9106796116504854,0.761467889908257,0.7217391304347827,0.8058252427184466,0.862514688601645,0.8155555555555556,0.9152119700748129
nerui,idner2k,indobert_bilstm,0.8909707636539621,0.8650287103023421,0.8899900891972249,1.3952369689941406,0.926926926926927,0.9566115702479339,0.8990291262135922,0.8,0.7678571428571429,0.8349514563106796,0.8681592039800994,0.8660049627791563,0.8703241895261845
nerui,idner2k,mbert_bilstm,0.8751830896766453,0.8777734042628755,0.8738916256157635,1.352424144744873,0.9053916581892167,0.9508547008547008,0.8640776699029126,0.8971962616822431,0.8648648648648649,0.9320388349514563,0.8307322929171669,0.8009259259259259,0.8628428927680798
nerui,idner2k,xlm_roberta_bilstm,0.8957888588470712,0.8886794130820052,0.8949682462139716,1.3040688037872314,0.9285714285714286,0.949290060851927,0.9087378640776699,0.8796296296296297,0.8407079646017699,0.9223300970873787,0.8578371810449574,0.8364928909952607,0.8802992518703242
nerui,idner2k,attention_fusion,0.9244518921331132,0.8989113702377928,0.9230019493177388,1.3406786918640137,0.9653808110781406,0.9838709677419355,0.9475728155339805,0.8370044052863437,0.7661290322580645,0.9223300970873787,0.8943488943488943,0.8813559322033898,0.9077306733167082
nerui,nerugm,bilstm,0.6814931179950138,0.6683558868372241,0.6770140428677015,0.8235504627227783,0.7450980392156863,0.7977099236641222,0.6989966555183946,0.6424581005586592,0.7371794871794872,0.5693069306930693,0.6175115207373272,0.5153846153846153,0.7701149425287356
nerui,nerugm,bilstm_w2v,0.702738698163402,0.6816583303892948,0.6964539007092199,1.4699418544769287,0.805414551607445,0.815068493150685,0.7959866220735786,0.6373626373626373,0.7160493827160493,0.5742574257425742,0.6021978021978022,0.4875444839857651,0.7873563218390804
nerui,nerugm,bilstm_w2v_cnn,0.7059892084965087,0.687682119085237,0.7010014306151645,0.8173341751098633,0.7965811965811965,0.8146853146853147,0.7792642140468228,0.6428571428571429,0.7222222222222222,0.5792079207920792,0.623608017817372,0.509090909090909,0.8045977011494253
nerui,nerugm,indobert,0.7302480225546222,0.7019501742163813,0.7246575342465753,1.2623891830444336,0.8723747980613894,0.84375,0.903010033444816,0.6233062330623307,0.688622754491018,0.5693069306930693,0.6101694915254238,0.48322147651006714,0.8275862068965517
nerui,nerugm,indobert_bilstm,0.7270592192230466,0.6973233564389781,0.7204374572795625,1.2626585960388184,0.8731942215088282,0.8395061728395061,0.9096989966555183,0.6290322580645161,0.6882352941176471,0.5792079207920792,0.5897435897435898,0.46938775510204084,0.7931034482758621
nerui,nerugm,mbert_bilstm,0.7476342024287229,0.7208014588151573,0.7418685121107267,1.305213212966919,0.8798701298701298,0.8548895899053628,0.9063545150501672,0.6575342465753425,0.7361963190184049,0.594059405940594,0.625,0.5,0.8333333333333334
nerui,nerugm,xlm_roberta_bilstm,0.735535908876268,0.7080619125490942,0.731404958677686,1.284212589263916,0.8722044728434504,0.8348623853211009,0.9130434782608695,0.6376021798365122,0.7090909090909091,0.5792079207920792,0.6143790849673203,0.49473684210526314,0.8103448275862069
nerui,nerugm,attention_fusion,0.7368384306910556,0.7066468583071998,0.7313738892686261,1.3117830753326416,0.8878205128205129,0.8523076923076923,0.9264214046822743,0.6256684491978609,0.6802325581395349,0.5792079207920792,0.6064516129032258,0.4845360824742268,0.8103448275862069
nerui,nerui,bilstm,0.33418160142409514,0.33832563187688075,0.33596214511041006,0.7376749515533447,0.2784222737819026,0.6896551724137931,0.1744186046511628,0.3865546218487395,0.6831683168316832,0.26953125,0.35000000000000003,0.7304347826086957,0.23013698630136986
nerui,nerui,bilstm_w2v,0.414776653340926,0.4242106440149585,0.4188626907073509,1.2967712879180908,0.3727454909819639,0.6,0.2703488372093023,0.5176470588235293,0.650887573964497,0.4296875,0.38223938223938225,0.6470588235294118,0.27123287671232876
nerui,nerui,bilstm_w2v_cnn,0.4386028814555513,0.4502197045974334,0.44755244755244755,0.7395994663238525,0.3811563169164882,0.7235772357723578,0.25872093023255816,0.5663716814159292,0.6530612244897959,0.5,0.4031311154598826,0.7054794520547946,0.2821917808219178
nerui,nerui,indobert,0.682082289287845,0.6783356528978439,0.6833428084138715,1.1902079582214355,0.8218750000000001,0.8885135135135135,0.7645348837209303,0.6175115207373272,0.7528089887640449,0.5234375,0.5956204379562043,0.6375,0.5589041095890411
nerui,nerui,indobert_bilstm,0.6443902146828838,0.6374332254881772,0.6528497409326425,1.1395893096923828,0.7727930535455861,0.7694524495677233,0.7761627906976745,0.5497630331753555,0.6987951807228916,0.453125,0.5897435897435898,0.7104247104247104,0.5041095890410959
nerui,nerui,mbert_bilstm,0.7255460515978899,0.7196376673017011,0.7267729521715228,1.2128381729125977,0.8276923076923076,0.8790849673202614,0.7819767441860465,0.6465116279069768,0.7988505747126436,0.54296875,0.6847090663058187,0.6764705882352942,0.6931506849315069
nerui,nerui,xlm_roberta_bilstm,0.7675860456549068,0.7593052960107362,0.7708442579968539,1.136747121810913,0.8596237337192475,0.8559077809798271,0.8633720930232558,0.6666666666666667,0.7801047120418848,0.58203125,0.7516254876462939,0.7153465346534653,0.7917808219178082
nerui,nerui,attention_fusion,0.7457322379251264,0.7414150926002522,0.7490596453519613,1.170013666152954,0.8943560057887121,0.8904899135446686,0.8982558139534884,0.673728813559322,0.7361111111111112,0.62109375,0.656160458452722,0.6876876876876877,0.6273972602739726
